policy_name,policy_family,split,n,accuracy,macro_f1,coverage,accepted_accuracy,review_rate,helped,hurt,net_gain,switch_rate,error_capture_rate,correct_rejection_rate,threshold,target_class
classwise_defect_flashover_margin_switch_top2_t0.100,margin_switch_top2,val,58,0.6724137931034483,0.6762866762866763,1.0,0.6724137931034483,0.0,2,1,1,0.05172413793103448,0.1,0.0,0.1,defect_flashover
classwise_insulator_ok_margin_review_t0.100,margin_review,train,182,0.9120879120879121,0.7902662093744897,0.989010989010989,0.9222222222222223,0.01098901098901099,1,1,0,0.0,0.06666666666666667,0.005988023952095809,0.1,insulator_ok
classwise_insulator_ok_margin_review_t0.100,margin_review,val,58,0.6379310344827587,0.6649018924880994,0.9827586206896551,0.6491228070175439,0.017241379310344827,0,1,-1,0.0,0.0,0.02631578947368421,0.1,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.100,margin_switch_top2,train,182,0.9175824175824175,0.7877184543851211,1.0,0.9175824175824175,0.0,1,1,0,0.01098901098901099,0.06666666666666667,0.0,0.1,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.100,margin_switch_top2,val,58,0.6379310344827587,0.6568187400906634,1.0,0.6379310344827587,0.0,0,1,-1,0.017241379310344827,0.0,0.0,0.1,insulator_ok
margin_review_t0.150,margin_review,train,182,0.8956043956043956,0.7911946574325995,0.967032967032967,0.9261363636363636,0.03296703296703297,2,4,-2,0.0,0.13333333333333333,0.023952095808383235,0.15,
margin_review_t0.150,margin_review,val,58,0.603448275862069,0.6721140948783225,0.9137931034482759,0.660377358490566,0.08620689655172414,2,3,-1,0.0,0.1,0.07894736842105263,0.15,
margin_switch_top2_t0.150,margin_switch_top2,train,182,0.9065934065934066,0.7459777772672623,1.0,0.9065934065934066,0.0,2,4,-2,0.03296703296703297,0.13333333333333333,0.0,0.15,
margin_switch_top2_t0.150,margin_switch_top2,val,58,0.6379310344827587,0.6537506209637357,1.0,0.6379310344827587,0.0,2,3,-1,0.08620689655172414,0.1,0.0,0.15,
classwise_defect_broken_margin_review_t0.150,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.15,defect_broken
classwise_defect_broken_margin_review_t0.150,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.15,defect_broken
classwise_defect_broken_margin_switch_top2_t0.150,margin_switch_top2,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.15,defect_broken
classwise_defect_broken_margin_switch_top2_t0.150,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.15,defect_broken
classwise_defect_flashover_margin_review_t0.150,margin_review,train,182,0.9065934065934066,0.773693605972087,0.9835164835164835,0.9217877094972067,0.016483516483516484,1,2,-1,0.0,0.06666666666666667,0.011976047904191617,0.15,defect_flashover
classwise_defect_flashover_margin_review_t0.150,margin_review,val,58,0.6379310344827587,0.6789255039885821,0.9482758620689655,0.6727272727272727,0.05172413793103448,2,1,1,0.0,0.1,0.02631578947368421,0.15,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.150,margin_switch_top2,train,182,0.9120879120879121,0.7374124385618638,1.0,0.9120879120879121,0.0,1,2,-1,0.016483516483516484,0.06666666666666667,0.0,0.15,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.150,margin_switch_top2,val,58,0.6724137931034483,0.6762866762866763,1.0,0.6724137931034483,0.0,2,1,1,0.05172413793103448,0.1,0.0,0.15,defect_flashover
classwise_insulator_ok_margin_review_t0.150,margin_review,train,182,0.9065934065934066,0.7901709401709401,0.9835164835164835,0.9217877094972067,0.016483516483516484,1,2,-1,0.0,0.06666666666666667,0.011976047904191617,0.15,insulator_ok
classwise_insulator_ok_margin_review_t0.150,margin_review,val,58,0.6206896551724138,0.6612073112073112,0.9655172413793104,0.6428571428571429,0.034482758620689655,0,2,-2,0.0,0.0,0.05263157894736842,0.15,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.150,margin_switch_top2,train,182,0.9120879120879121,0.7795516585325503,1.0,0.9120879120879121,0.0,1,2,-1,0.016483516483516484,0.06666666666666667,0.0,0.15,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.150,margin_switch_top2,val,58,0.6206896551724138,0.645212210142511,1.0,0.6206896551724138,0.0,0,2,-2,0.034482758620689655,0.0,0.0,0.15,insulator_ok
margin_review_t0.168,margin_review,train,182,0.8956043956043956,0.7911946574325995,0.967032967032967,0.9261363636363636,0.03296703296703297,2,4,-2,0.0,0.13333333333333333,0.023952095808383235,0.16808,
margin_review_t0.168,margin_review,val,58,0.603448275862069,0.6814179531160662,0.896551724137931,0.6730769230769231,0.10344827586206896,3,3,0,0.0,0.15,0.07894736842105263,0.16808,
margin_switch_top2_t0.168,margin_switch_top2,train,182,0.9065934065934066,0.7459777772672623,1.0,0.9065934065934066,0.0,2,4,-2,0.03296703296703297,0.13333333333333333,0.0,0.16808,
margin_switch_top2_t0.168,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,3,3,0,0.10344827586206896,0.15,0.0,0.16808,
classwise_defect_broken_margin_review_t0.168,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.16808,defect_broken
classwise_defect_broken_margin_review_t0.168,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.16808,defect_broken
classwise_defect_broken_margin_switch_top2_t0.168,margin_switch_top2,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.16808,defect_broken
classwise_defect_broken_margin_switch_top2_t0.168,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.16808,defect_broken
classwise_defect_flashover_margin_review_t0.168,margin_review,train,182,0.9065934065934066,0.773693605972087,0.9835164835164835,0.9217877094972067,0.016483516483516484,1,2,-1,0.0,0.06666666666666667,0.011976047904191617,0.16808,defect_flashover
classwise_defect_flashover_margin_review_t0.168,margin_review,val,58,0.6379310344827587,0.6789255039885821,0.9482758620689655,0.6727272727272727,0.05172413793103448,2,1,1,0.0,0.1,0.02631578947368421,0.16808,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.168,margin_switch_top2,train,182,0.9120879120879121,0.7374124385618638,1.0,0.9120879120879121,0.0,1,2,-1,0.016483516483516484,0.06666666666666667,0.0,0.16808,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.168,margin_switch_top2,val,58,0.6724137931034483,0.6762866762866763,1.0,0.6724137931034483,0.0,2,1,1,0.05172413793103448,0.1,0.0,0.16808,defect_flashover
classwise_insulator_ok_margin_review_t0.168,margin_review,train,182,0.9065934065934066,0.7901709401709401,0.9835164835164835,0.9217877094972067,0.016483516483516484,1,2,-1,0.0,0.06666666666666667,0.011976047904191617,0.16808,insulator_ok
classwise_insulator_ok_margin_review_t0.168,margin_review,val,58,0.6206896551724138,0.6696969696969698,0.9482758620689655,0.6545454545454545,0.05172413793103448,1,2,-1,0.0,0.05,0.05263157894736842,0.16808,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.168,margin_switch_top2,train,182,0.9120879120879121,0.7795516585325503,1.0,0.9120879120879121,0.0,1,2,-1,0.016483516483516484,0.06666666666666667,0.0,0.16808,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.168,margin_switch_top2,val,58,0.6379310344827587,0.6590909090909091,1.0,0.6379310344827587,0.0,1,2,-1,0.05172413793103448,0.05,0.0,0.16808,insulator_ok
margin_review_t0.200,margin_review,train,182,0.8901098901098901,0.7901736972704715,0.9560439560439561,0.9310344827586207,0.04395604395604396,3,5,-2,0.0,0.2,0.029940119760479042,0.2,
margin_review_t0.200,margin_review,val,58,0.5862068965517241,0.6875524475524476,0.8620689655172413,0.68,0.13793103448275862,4,4,0,0.0,0.2,0.10526315789473684,0.2,
margin_switch_top2_t0.200,margin_switch_top2,train,182,0.9065934065934066,0.7292602575621444,1.0,0.9065934065934066,0.0,3,5,-2,0.04395604395604396,0.2,0.0,0.2,
margin_switch_top2_t0.200,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,4,4,0,0.13793103448275862,0.2,0.0,0.2,
classwise_defect_broken_margin_review_t0.200,margin_review,train,182,0.9175824175824175,0.7858669881454693,0.9945054945054945,0.9226519337016574,0.005494505494505495,1,0,1,0.0,0.06666666666666667,0.0,0.2,defect_broken
classwise_defect_broken_margin_review_t0.200,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.2,defect_broken
classwise_defect_broken_margin_switch_top2_t0.200,margin_switch_top2,train,182,0.9230769230769231,0.7859598682240193,1.0,0.9230769230769231,0.0,1,0,1,0.005494505494505495,0.06666666666666667,0.0,0.2,defect_broken
classwise_defect_broken_margin_switch_top2_t0.200,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.2,defect_broken
classwise_defect_flashover_margin_review_t0.200,margin_review,train,182,0.9010989010989011,0.7617888440673252,0.978021978021978,0.9213483146067416,0.02197802197802198,1,3,-2,0.0,0.06666666666666667,0.017964071856287425,0.2,defect_flashover
classwise_defect_flashover_margin_review_t0.200,margin_review,val,58,0.6379310344827587,0.6880382775119617,0.9310344827586207,0.6851851851851852,0.06896551724137931,3,1,2,0.0,0.15,0.02631578947368421,0.2,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.200,margin_switch_top2,train,182,0.9065934065934066,0.7102759622367465,1.0,0.9065934065934066,0.0,1,3,-2,0.02197802197802198,0.06666666666666667,0.0,0.2,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.200,margin_switch_top2,val,58,0.6896551724137931,0.6875461936437546,1.0,0.6896551724137931,0.0,3,1,2,0.06896551724137931,0.15,0.0,0.2,defect_flashover
classwise_insulator_ok_margin_review_t0.200,margin_review,train,182,0.9065934065934066,0.7901709401709401,0.9835164835164835,0.9217877094972067,0.016483516483516484,1,2,-1,0.0,0.06666666666666667,0.011976047904191617,0.2,insulator_ok
classwise_insulator_ok_margin_review_t0.200,margin_review,val,58,0.603448275862069,0.665809033733562,0.9310344827586207,0.6481481481481481,0.06896551724137931,1,3,-2,0.0,0.05,0.07894736842105263,0.2,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.200,margin_switch_top2,train,182,0.9120879120879121,0.7795516585325503,1.0,0.9120879120879121,0.0,1,2,-1,0.016483516483516484,0.06666666666666667,0.0,0.2,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.200,margin_switch_top2,val,58,0.6206896551724138,0.6471861471861472,1.0,0.6206896551724138,0.0,1,3,-2,0.06896551724137931,0.05,0.0,0.2,insulator_ok
margin_review_t0.250,margin_review,train,182,0.8846153846153846,0.7900899100899101,0.9505494505494505,0.930635838150289,0.04945054945054945,3,6,-3,0.0,0.2,0.03592814371257485,0.25,
margin_review_t0.250,margin_review,val,58,0.5344827586206896,0.6855086977485998,0.7931034482758621,0.6739130434782609,0.20689655172413793,5,7,-2,0.0,0.25,0.18421052631578946,0.25,
margin_switch_top2_t0.250,margin_switch_top2,train,182,0.9010989010989011,0.7164599195148754,1.0,0.9010989010989011,0.0,3,6,-3,0.04945054945054945,0.2,0.0,0.25,
margin_switch_top2_t0.250,margin_switch_top2,val,58,0.6206896551724138,0.6290188239213726,1.0,0.6206896551724138,0.0,5,7,-2,0.20689655172413793,0.25,0.0,0.25,
