method,budget,n,review_count,review_rate,accept_count,accept_rate,accepted_accuracy,n_false_alarm,false_alarm_reviewed,false_alarm_capture_rate,false_alarm_remaining,false_alarm_remaining_rate,false_alarm_review_yield,n_true_flashover,true_flashover_accepted,true_flashover_accept_rate,true_flashover_reviewed,true_flashover_review_rate,true_flashover_retention,helped,hurt,net_gain,helped_per_review
margin_plus_vlm_rank,0.4000,36.0,14.0,0.3888888888888889,22.0,0.6111111111111112,0.7272727272727273,13.0,9.0,0.6923076923076923,4.0,0.3076923076923077,0.6428571428571429,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,0.7619047619047619,9.0,5.0,4.0,0.6428571428571429
review_all_flashover,0.4000,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
random_baseline_same_budget,0.4000,36.0,14.0,0.38888888888888895,22.0,0.611111111111111,0.5920454545454545,13.0,5.27,0.4053846153846154,7.73,0.5946153846153847,0.3764285714285714,21.0,13.025,0.6202380952380951,7.975,0.37976190476190474,0.6202380952380951,5.27,7.975,-2.705,0.3764285714285714
margin_rank,0.5000,36.0,18.0,0.5,18.0,0.5,0.7777777777777778,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,0.6111111111111112,21.0,14.0,0.6666666666666666,7.0,0.3333333333333333,0.6666666666666666,11.0,7.0,4.0,0.6111111111111112
vlm_binary_rank,0.5000,36.0,18.0,0.5,18.0,0.5,0.7777777777777778,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,0.6111111111111112,21.0,14.0,0.6666666666666666,7.0,0.3333333333333333,0.6666666666666666,11.0,7.0,4.0,0.6111111111111112
vlm_plus_margin_rank,0.5000,36.0,18.0,0.5,18.0,0.5,0.7777777777777778,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,0.6111111111111112,21.0,14.0,0.6666666666666666,7.0,0.3333333333333333,0.6666666666666666,11.0,7.0,4.0,0.6111111111111112
margin_plus_vlm_rank,0.5000,36.0,18.0,0.5,18.0,0.5,0.7777777777777778,13.0,11.0,0.8461538461538461,2.0,0.15384615384615385,0.6111111111111112,21.0,14.0,0.6666666666666666,7.0,0.3333333333333333,0.6666666666666666,11.0,7.0,4.0,0.6111111111111112
review_all_flashover,0.5000,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
random_baseline_same_budget,0.5000,36.0,18.0,0.5,18.0,0.5,0.5952777777777778,13.0,6.72,0.5169230769230769,6.28,0.48307692307692307,0.37333333333333335,21.0,10.715,0.5102380952380952,10.285,0.48976190476190473,0.5102380952380952,6.72,10.285,-3.565,0.37333333333333335
margin_rank,0.6000,36.0,22.0,0.6111111111111112,14.0,0.3888888888888889,0.7857142857142857,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,0.5454545454545454,21.0,11.0,0.5238095238095238,10.0,0.47619047619047616,0.5238095238095238,12.0,10.0,2.0,0.5454545454545454
vlm_binary_rank,0.6000,36.0,22.0,0.6111111111111112,14.0,0.3888888888888889,0.7857142857142857,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,0.5454545454545454,21.0,11.0,0.5238095238095238,10.0,0.47619047619047616,0.5238095238095238,12.0,10.0,2.0,0.5454545454545454
vlm_plus_margin_rank,0.6000,36.0,22.0,0.6111111111111112,14.0,0.3888888888888889,0.7857142857142857,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,0.5454545454545454,21.0,11.0,0.5238095238095238,10.0,0.47619047619047616,0.5238095238095238,12.0,10.0,2.0,0.5454545454545454
margin_plus_vlm_rank,0.6000,36.0,22.0,0.6111111111111112,14.0,0.3888888888888889,0.7857142857142857,13.0,12.0,0.9230769230769231,1.0,0.07692307692307693,0.5454545454545454,21.0,11.0,0.5238095238095238,10.0,0.47619047619047616,0.5238095238095238,12.0,10.0,2.0,0.5454545454545454
review_all_flashover,0.6000,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
random_baseline_same_budget,0.6000,36.0,22.0,0.611111111111111,14.0,0.38888888888888895,0.592857142857143,13.0,8.095,0.6226923076923078,4.905,0.37730769230769234,0.3679545454545455,21.0,8.3,0.3952380952380953,12.7,0.6047619047619047,0.3952380952380953,8.095,12.7,-4.605,0.3679545454545455
